n,m,epsilon,time_ms_mean,time_ms_std,iterations,transport_cost,converged,gpu
256,256,0.1,18.006,1.172,-1,0.079979,1,Tesla T4
256,256,0.01,37.068,7.115,-1,0.079979,1,Tesla T4
256,256,0.001,52.321,4.682,-1,0.079980,1,Tesla T4
512,512,0.1,20.668,4.995,-1,0.079978,1,Tesla T4
512,512,0.01,24.064,2.915,-1,0.079978,1,Tesla T4
512,512,0.001,32.572,1.395,-1,0.079979,1,Tesla T4
1024,1024,0.1,13.923,0.515,-1,0.079978,1,Tesla T4
1024,1024,0.01,23.458,0.665,-1,0.079978,1,Tesla T4
1024,1024,0.001,33.733,2.568,-1,0.079978,1,Tesla T4
2048,2048,0.1,47.491,0.090,-1,0.079978,1,Tesla T4
2048,2048,0.01,80.012,0.029,-1,0.079978,1,Tesla T4
2048,2048,0.001,112.598,0.070,-1,0.079978,1,Tesla T4
4096,4096,0.1,180.504,0.062,-1,0.079978,1,Tesla T4
4096,4096,0.01,304.842,0.272,-1,0.079978,1,Tesla T4
4096,4096,0.001,428.773,0.186,-1,0.079978,1,Tesla T4
8192,8192,0.1,707.383,0.285,-1,0.079977,1,Tesla T4
8192,8192,0.01,1193.472,0.433,-1,0.079978,1,Tesla T4
8192,8192,0.001,1677.076,0.918,-1,0.079978,1,Tesla T4
