n,m,epsilon,time_ms_mean,time_ms_std,iterations,transport_cost,converged,gpu
256,256,0.1,0.154,0.005,31,0.041295,1,NVIDIA RTX 3090
256,256,0.01,0.323,0.010,97,0.039532,1,NVIDIA RTX 3090
256,256,0.001,0.646,0.019,340,0.039061,1,NVIDIA RTX 3090
512,512,0.1,0.640,0.019,30,0.039069,1,NVIDIA RTX 3090
512,512,0.01,1.257,0.038,80,0.036550,1,NVIDIA RTX 3090
512,512,0.001,2.409,0.072,284,0.040628,1,NVIDIA RTX 3090
1024,1024,0.1,2.461,0.074,27,0.042931,1,NVIDIA RTX 3090
1024,1024,0.01,5.086,0.153,100,0.037151,1,NVIDIA RTX 3090
1024,1024,0.001,9.985,0.300,319,0.037698,1,NVIDIA RTX 3090
2048,2048,0.1,10.878,0.326,29,0.039417,1,NVIDIA RTX 3090
2048,2048,0.01,20.663,0.620,118,0.039973,1,NVIDIA RTX 3090
2048,2048,0.001,40.259,1.208,342,0.037558,1,NVIDIA RTX 3090
4096,4096,0.1,44.676,1.340,25,0.037344,1,NVIDIA RTX 3090
4096,4096,0.01,89.088,2.673,107,0.040343,1,NVIDIA RTX 3090
4096,4096,0.001,175.004,5.250,306,0.037043,1,NVIDIA RTX 3090
8192,8192,0.1,176.506,5.295,30,0.042114,1,NVIDIA RTX 3090
8192,8192,0.01,371.601,11.148,82,0.040648,1,NVIDIA RTX 3090
8192,8192,0.001,714.883,21.447,294,0.041223,1,NVIDIA RTX 3090
