n,m,epsilon,time_ms_mean,time_ms_std,iterations,transport_cost,converged,gpu
256,256,0.1,1.507,0.102,2,0.171135,1,N/A (CPU)
256,256,0.01,3.223,0.162,4,0.164016,1,N/A (CPU)
256,256,0.001,35.922,2.251,27,0.160449,1,N/A (CPU)
512,512,0.1,7.721,0.427,2,0.171132,1,N/A (CPU)
512,512,0.01,13.129,0.623,4,0.164014,1,N/A (CPU)
512,512,0.001,109.539,5.041,26,0.160447,1,N/A (CPU)
1024,1024,0.1,31.692,3.251,2,0.171131,1,N/A (CPU)
1024,1024,0.01,55.058,4.206,4,0.164013,1,N/A (CPU)
1024,1024,0.001,449.719,200.549,26,0.160446,1,N/A (CPU)
2048,2048,0.1,210.876,36.768,2,0.171130,1,N/A (CPU)
2048,2048,0.01,255.987,12.101,4,0.164012,1,N/A (CPU)
2048,2048,0.001,1938.021,487.282,25,0.160446,1,N/A (CPU)
4096,4096,0.1,587.991,11.608,2,0.171130,1,N/A (CPU)
4096,4096,0.01,1097.222,124.013,4,0.164012,1,N/A (CPU)
4096,4096,0.001,7712.763,628.314,25,0.160446,1,N/A (CPU)
8192,8192,0.1,2337.982,163.011,2,0.171130,1,N/A (CPU)
8192,8192,0.01,4462.135,390.883,4,0.164012,1,N/A (CPU)
8192,8192,0.001,30971.199,1232.290,25,0.160445,1,N/A (CPU)
