n,m,epsilon,time_ms_mean,time_ms_std,iterations,transport_cost,converged,gpu
256,256,0.1,3.356,0.014,10,0.171135,1,Tesla T4
256,256,0.01,10.484,0.535,30,0.164016,1,Tesla T4
256,256,0.001,84.334,3.453,290,0.160449,1,Tesla T4
512,512,0.1,3.401,0.015,10,0.171132,1,Tesla T4
512,512,0.01,10.258,0.258,30,0.164014,1,Tesla T4
512,512,0.001,99.514,3.660,290,0.160447,1,Tesla T4
1024,1024,0.1,12.258,0.051,10,0.171131,1,Tesla T4
1024,1024,0.01,36.588,0.083,30,0.164013,1,Tesla T4
1024,1024,0.001,356.681,1.146,290,0.160446,1,Tesla T4
2048,2048,0.1,45.342,0.086,10,0.171130,1,Tesla T4
2048,2048,0.01,135.927,0.209,30,0.164012,1,Tesla T4
2048,2048,0.001,1332.806,3.104,290,0.160446,1,Tesla T4
4096,4096,0.1,177.253,0.196,10,0.171130,1,Tesla T4
4096,4096,0.01,533.475,0.342,30,0.164012,1,Tesla T4
4096,4096,0.001,5286.615,25.164,290,0.160446,1,Tesla T4
8192,8192,0.1,723.934,0.741,10,0.171130,1,Tesla T4
8192,8192,0.01,2174.453,2.909,30,0.164012,1,Tesla T4
8192,8192,0.001,21303.477,22.551,290,0.160445,1,Tesla T4
