n,m,epsilon,time_ms_mean,time_ms_std,iterations,peak_memory_bytes,cost_matrix_mb,transport_cost,converged
64,64,0.01,0.018,0.000,170,17664,0.02,0.039621,1
128,128,0.01,0.071,0.001,188,68096,0.06,0.039587,1
256,256,0.01,0.304,0.006,200,267264,0.25,0.041263,1
512,512,0.01,1.226,0.025,176,1058816,1.00,0.040455,1
1024,1024,0.01,4.887,0.098,171,4214784,4.00,0.040493,1
2048,2048,0.01,21.224,0.424,199,16818176,16.00,0.039382,1
4096,4096,0.01,85.449,1.709,171,67190784,64.00,0.040014,1
8192,8192,0.01,363.562,7.271,202,268599296,256.00,0.039601,1
12288,12288,0.01,840.184,16.804,188,604225536,576.00,0.039892,1
16384,16384,0.01,1538.046,30.761,183,1074069504,1024.00,0.040837,1
