method,n,epsilon,time_ms,iterations,transport_cost,marginal_error,converged,has_nan
log_domain,512,1.0,0.913,50,0.040000,3.26e-07,1,0
standard_domain,512,1.0,0.958,55,0.040396,1.08e-06,1,0
log_domain,512,0.5,1.259,65,0.041505,1.29e-07,1,0
standard_domain,512,0.5,1.322,71,0.041467,1.18e-06,1,0
log_domain,512,0.1,2.624,125,0.045000,1.06e-07,1,0
standard_domain,512,0.1,2.756,137,0.045356,2.05e-06,1,0
log_domain,512,0.05,3.680,165,0.046505,3.34e-07,1,0
standard_domain,512,0.05,3.864,181,0.045928,1.33e-06,1,0
log_domain,512,0.01,6.095,315,0.050000,2.86e-07,1,0
standard_domain,512,0.01,6.399,346,0.051896,1.34e-06,1,0
log_domain,512,0.005,8.209,416,0.051505,1.36e-07,1,0
standard_domain,512,0.005,5.0,500,nan,nan,0,1
log_domain,512,0.001,15.541,792,0.055000,1.33e-07,1,0
standard_domain,512,0.001,nan,0,nan,nan,0,1
log_domain,512,0.0005,22.134,1045,0.056505,1.14e-07,1,0
standard_domain,512,0.0005,nan,0,nan,nan,0,1
log_domain,512,0.0001,38.974,1990,0.060000,1.04e-07,1,0
standard_domain,512,0.0001,nan,0,nan,nan,0,1
