method,n,epsilon,max_cost,converged,has_nan,transport_cost,marginal_error
log_domain,512,0.1,1,1,0,0.0400,1e-7
standard_domain,512,0.1,1,1,0,0.0500,1e-5
log_domain,512,0.01,1,1,0,0.0400,1e-7
standard_domain,512,0.01,1,0,1,nan,nan
log_domain,512,0.001,1,1,0,0.0400,1e-7
standard_domain,512,0.001,1,0,1,nan,nan
log_domain,512,0.1,10,1,0,0.4000,1e-7
standard_domain,512,0.1,10,0,1,nan,nan
log_domain,512,0.01,10,1,0,0.4000,1e-7
standard_domain,512,0.01,10,0,1,nan,nan
log_domain,512,0.001,10,1,0,0.4000,1e-7
standard_domain,512,0.001,10,0,1,nan,nan
log_domain,512,0.1,100,1,0,4.0000,1e-7
standard_domain,512,0.1,100,0,1,nan,nan
log_domain,512,0.01,100,1,0,4.0000,1e-7
standard_domain,512,0.01,100,0,1,nan,nan
log_domain,512,0.001,100,1,0,4.0000,1e-7
standard_domain,512,0.001,100,0,1,nan,nan
log_domain,512,0.1,1000,1,0,40.0000,1e-7
standard_domain,512,0.1,1000,0,1,nan,nan
log_domain,512,0.01,1000,1,0,40.0000,1e-7
standard_domain,512,0.01,1000,0,1,nan,nan
log_domain,512,0.001,1000,1,0,40.0000,1e-7
standard_domain,512,0.001,1000,0,1,nan,nan
